Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
WM,Staffordshire,860,Codsall Community High School,School Sixth Form,10001530,113601,306,0,"1,309,644","83,443",0,0,0,"28,915","28,915",0,"2,500",0,0,"1,341,059"
EE,Essex,881,Colchester County High School for Girls,Academy,10035498,120554,204,0,"838,908","8,081",0,0,0,"10,882","10,882",0,0,0,0,"849,790"
EE,Essex,881,Colchester Institute,General FE and Tertiary,10001535,106564,"3,691",69,"16,801,422","1,989,721",79,0,"414,000","603,953","462,001","141,952","405,250",0,0,"18,224,625"
EE,Essex,881,Colchester Royal Grammar School,Academy,10035485,120596,381,0,"1,630,202","24,204",1,0,0,"9,889","9,889",0,0,"1,200",0,"1,641,291"
WM,Wales,WALES,Coleg Elidyr,Special Post-16 Institution,10001538,114846,3,3,"18,433","6,000",0,0,"18,000",500,500,0,0,0,0,"36,933"
SE,Surrey,936,Collingwood College,Academy,10034091,119837,180,0,"822,431","18,780",21,"-21,270",0,"9,146","9,146",0,0,0,0,"810,307"
WM,Birmingham,330,Colmers School and Sixth Form College,School Sixth Form,10015135,125635,76,0,"311,684","17,423",0,0,0,"8,153","8,153",0,0,0,0,"319,837"
EE,Essex,881,Colne Community School and College (Secondary and 16 to 19 Provision),Academy,10082306,151672,83,0,"350,700","36,260",5,-119,0,"8,328","8,328",0,0,0,0,"358,908"
GL,Croydon,306,Coloma Convent Girls' School,School Sixth Form,10001558,113038,269,0,"1,225,745","31,828",0,0,0,"18,125","18,125",0,0,0,0,"1,243,869"
EM,Nottinghamshire,891,Colonel Frank Seely Academy,Academy,10063682,138487,70,0,"283,098","6,000",2,0,0,"4,391","4,391",0,0,0,0,"287,489"
SW,Bristol City of,801,Colston's Girls' School,Academy,10031006,118661,169,3,"705,246","39,812",6,0,"18,000","14,328","14,328",0,0,"6,000",0,"743,574"
WM,Wolverhampton,336,Colton Hills Community School,School Sixth Form,10001564,114365,151,0,"716,443","96,291",6,0,0,"24,209","24,209",0,0,0,0,"740,652"
EE,Essex,881,Columbus School and College,Academy Special,10037226,120671,65,65,0,0,0,0,"650,000","6,973","6,973",0,0,0,0,"656,973"
SW,Devon,878,Colyton Grammar School,Academy,10032334,119405,226,0,"945,359","6,000",0,0,0,"13,470","13,470",0,0,"4,800",0,"963,629"
SW,Torbay,880,Combe Pafford School,Academy Special,10041043,124141,50,50,0,0,0,0,"500,000","5,364","5,364",0,0,0,0,"505,364"
EE,Cambridgeshire,873,Comberton Village College,Academy,10032979,119503,462,6,"1,851,151","19,094",0,0,"36,000","49,563","49,563",0,0,"27,600",0,"1,964,314"
EE,Essex,881,Community College Initiative Ltd,Special Post-16 Institution,10055371,139010,24,23,"126,283","26,820",0,0,"138,000","3,414","2,575",839,0,0,0,"267,697"
EM,Lincolnshire,925,Community Learning In Partnership (CLIP) CIC,Independent Learning Provider,10032017,121224,73,0,"288,873","75,574",1,0,0,"27,288","13,051","14,237",0,0,0,"316,161"
YH,Sheffield,373,Community Training Services Limited,Independent Learning Provider,10001602,109908,273,0,"1,007,018","277,214",26,"-18,546",0,"74,876","40,532","34,344",0,0,0,"1,063,349"
WM,Shropshire,893,Condover College Limited,Special Post-16 Institution,10009120,117294,14,14,"73,665","15,645",0,0,"84,000","3,818","1,180","2,638",0,0,0,"161,483"
NW,Cheshire East,895,Congleton High School,Academy,10033372,119672,223,2,"1,020,643","92,218",0,0,"12,000","15,464","15,464",0,0,0,0,"1,048,107"
NW,Manchester,352,Connell Coop College,Free School,10042041,123351,457,0,"2,004,452","305,639",7,0,0,"61,516","49,027","12,489",0,"33,000",0,"2,098,968"
NE,Durham,840,Consett Academy,Academy,10036056,120915,124,0,"504,809","12,484",0,0,0,"13,303","13,303",0,0,"3,000",0,"521,112"
WM,Worcestershire,885,ContinU Plus Academy,Academy AP,10041675,123408,8,8,"37,862","6,000",0,0,"48,000",858,858,0,0,0,0,"86,720"
GL,Brent,304,Convent of Jesus and Mary Language College,Academy,10036970,121834,148,1,"736,849","72,169",1,0,"6,000","24,028","24,028",0,0,0,0,"766,877"
NE,Stockton-on-Tees,808,Conyers School,Academy,10040290,123323,225,0,"948,096","22,110",3,0,0,"11,472","11,472",0,0,0,0,"959,568"
GL,Kingston upon Thames,314,Coombe Boys' School,Academy,10036446,120886,98,0,"470,375","29,723",2,0,0,"12,435","12,435",0,0,"1,800",0,"484,610"
SW,Plymouth,879,Coombe Dean School,Academy,10033275,119575,156,3,"625,901","21,356",0,0,"18,000","14,425","14,425",0,0,0,0,"658,326"
GL,Kingston upon Thames,314,Coombe Girls' School,Academy,10036445,120864,261,1,"1,162,600","6,423",0,0,"6,000","28,949","28,949",0,0,"42,000",0,"1,239,549"
SW,Devon,878,Coombeshead Academy,Academy,10034533,120176,149,0,"641,214","37,675",1,0,0,"16,788","16,788",0,0,"4,200",0,"662,202"
YH,Bradford,380,Co-op Academy Grange,Academy,10083055,151946,101,0,"482,775","93,781",4,0,0,"25,845","25,845",0,0,0,0,"508,620"
YH,Leeds,383,Co-op Academy Leeds,Academy,10038810,121005,33,0,"184,723","56,415",1,0,0,"8,083","8,083",0,0,0,0,"192,805"
YH,Leeds,383,Co-op Academy Priesthorpe,Academy,10064480,139394,144,0,"646,926","80,430",0,0,0,"18,250","18,250",0,0,"7,200",0,"672,376"
GL,Bromley,305,Coopers School,Academy,10032980,119504,390,4,"1,826,994","83,832",1,0,"24,000","32,437","32,437",0,0,"8,400",0,"1,891,831"
EE,Suffolk,935,Copleston High School,Academy,10034090,119835,293,0,"1,162,029","28,848",1,0,0,"23,950","23,950",0,0,"7,200",0,"1,193,179"
WM,Wolverhampton,336,Coppice Performing Arts School,Academy,10065187,139856,112,0,"486,571","29,852",5,-300,0,"10,951","10,951",0,0,"2,400",0,"499,622"
GL,Barnet,302,Copthall School,Academy,10038657,120826,146,0,"704,476","52,953",1,0,0,"21,932","21,932",0,0,0,0,"726,409"
EM,Northamptonshire,928,Corby Business Academy,Academy,10023758,118606,117,9,"477,759","22,945",4,0,"54,000","18,702","18,702",0,0,"15,000",0,"565,461"
EM,Northamptonshire,928,Corby Technical School,Free School,10038723,121975,44,0,"181,174","12,214",0,0,0,"4,720","4,720",0,0,"13,800",0,"199,694"
SW,"Bournemouth, Christchurch and Poole",839,Corfe Hills School,Academy,10033260,119560,244,0,"968,674","10,914",0,0,0,"16,840","16,840",0,0,0,0,"985,514"
SW,Cornwall,908,Cornwall College,General FE and Tertiary,10001696,106490,"3,405",193,"17,038,680","2,438,009",86,0,"1,158,000","1,071,099","519,288","106,687","457,750",0,0,"19,725,529"
SE,Kent,886,Cornwallis Academy,Academy,10021031,118607,251,0,"1,059,010","115,637",7,0,0,"26,321","26,321",0,0,0,0,"1,085,332"
SW,Bristol City of,801,Cotham School,Academy,10035130,120389,389,0,"1,632,908","83,020",0,0,0,"34,151","34,151",0,0,0,0,"1,667,059"
EE,Cambridgeshire,873,Cottenham Village College,Academy,10035082,120325,42,35,"220,987","37,150",10,"-14,273","210,000","4,506","4,506",0,0,0,0,"421,219"
YH,East Riding of Yorkshire,811,Cottingham High School and Sixth Form College,Academy,10034156,119907,108,0,"449,282","14,993",0,0,0,"8,963","8,963",0,0,0,0,"458,246"
WM,Coventry,331,Coundon Court,Academy,10037002,121126,226,1,"914,614","32,808",0,0,"6,000","18,258","18,258",0,0,"4,200",0,"943,072"
EM,Leicestershire,855,Countesthorpe Leysland Community College,Academy,10038146,122377,153,2,"612,149","6,000",1,0,"12,000","12,666","12,666",0,0,"6,000",0,"642,815"
WM,Coventry,331,Coventry City Council,Local Authority,10001723,108101,62,0,"48,385","9,127",3,"-1,005",0,"7,413","6,991",422,0,0,0,"54,794"
WM,Coventry,331,Coventry College,General FE and Tertiary,10003010,106441,"2,859",78,"13,319,039","2,374,277",108,0,"468,000","572,186","407,960","164,226",0,"7,800",0,"14,367,025"
WM,Coventry,331,Coventry University,Higher Education Provider,10001726,108253,32,0,"143,276","6,454",3,"-3,285",0,"2,341","2,341",0,0,0,0,"142,333"
SE,Isle of Wight,921,Cowes Enterprise College,Academy,10045832,130629,146,0,"584,472","11,880",1,0,0,"14,688","14,688",0,0,"11,400",0,"610,561"
NW,St. Helens,342,Cowley Language College,School Sixth Form,10001730,113475,327,0,"1,461,673","184,161",1,0,0,"57,980","57,980",0,"16,500","5,400",0,"1,541,553"
SE,Windsor and Maidenhead,868,Cox Green School,Academy,10035803,120817,139,0,"643,715","15,521",0,0,0,"8,392","8,392",0,0,0,0,"652,107"
WM,Birmingham,330,Crackerjack Training Limited,Independent Learning Provider,10001736,117100,81,0,"394,098","97,027",0,0,0,"14,296","6,486","7,810",0,0,0,"408,394"
NE,Northumberland,929,Cramlington Learning Village,Academy,10035104,120424,288,1,"1,150,992","38,004",0,0,"6,000","22,829","22,829",0,0,"34,200",0,"1,214,021"
SE,Kent,886,Cranbrook School,Academy,10035657,120626,283,0,"1,142,122","6,000",1,0,0,"15,467","15,467",0,0,0,0,"1,157,588"
GL,Hounslow,313,Cranford Community College,Academy,10033241,119613,389,1,"1,813,264","109,511",8,0,"6,000","51,315","51,315",0,"5,500","1,800",0,"1,877,879"
YH,North Yorkshire,815,Craven College,General FE and Tertiary,10001743,107552,"1,142",105,"5,512,075","662,365",31,0,"630,000","136,303","113,668","22,635","145,250",0,0,"6,423,628"
YH,Leeds,383,Crawshaw Academy,Academy,10037628,122149,90,0,"374,761","32,635",1,0,0,"9,998","9,998",0,0,0,0,"384,760"
SE,Buckinghamshire,825,Cressex Community School,School Sixth Form,10001754,113957,8,0,"29,960","6,000",0,0,0,"2,299","2,299",0,0,0,0,"32,259"
NW,Cheshire East,895,Crewe Engineering and Design UTC,University Technical College,10057006,132761,72,0,"370,009","26,503",0,0,0,"7,724","7,724",0,0,"3,000",0,"380,733"
SW,Somerset,933,Critchill Special School,Academy Special,10083494,151887,14,14,0,0,0,0,"140,000","1,502","1,502",0,0,0,0,"141,502"
EE,Cambridgeshire,873,Cromwell Community College,Academy,10037422,121145,118,1,"485,667","7,540",0,0,"6,000","14,408","14,408",0,"2,500",0,0,"508,575"
GL,Croydon,306,Croydon College,General FE and Tertiary,10001778,105714,"2,483",101,"12,727,643","1,777,007",34,0,"606,000","606,201","336,817","269,384","212,750",0,0,"14,152,594"
GL,Croydon,306,Croydon London Borough Council,Local Authority,10003989,108123,1,0,"8,549","6,000",1,-776,0,500,500,0,0,0,0,"8,273"
SW,Cornwall,908,CSW Group Ltd,Other,10001639,116386,0,0,0,0,0,0,0,"21,137","10,184","10,953",0,0,0,"21,137"
EM,Nottingham,892,CT Skills Limited,Independent Learning Provider,10001174,116671,98,0,"146,670","42,858",8,"-4,905",0,"10,513","10,513",0,0,0,0,"152,278"
NW,Cumbria,909,Cumbria County Council,Local Authority,10001800,108122,15,7,"61,967","6,000",0,0,"42,000","1,219","1,219",0,0,0,0,"105,186"
SW,Cornwall,908,Curnow School,Academy Special,10057506,134300,17,17,0,0,0,0,"170,000","1,824","1,824",0,0,0,0,"171,824"
NL,National Contract,NLC,CVQO LTD,Independent Learning Provider,10014226,118547,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,500,000"
SE,Kent,886,CXK Limited,Independent Learning Provider,10001648,116322,137,0,"422,878","77,410",0,0,0,"21,670","12,737","8,933",0,0,0,"444,548"
GL,Barking and Dagenham,301,Dagenham Park C of E School,School Sixth Form,10029207,119319,117,0,"581,463","55,227",5,0,0,"20,229","20,229",0,0,0,0,"601,692"
NW,Cumbria,909,Dallam School,Academy,10034628,120205,180,3,"791,794","14,022",0,0,"18,000","9,805","9,805",0,0,0,0,"819,599"
EE,Hertfordshire,919,Dame Alice Owen's School,Academy,10033278,119614,420,4,"1,883,707","8,296",0,0,"24,000","11,239","11,239",0,0,"24,000",0,"1,942,947"
WM,Birmingham,330,Dame Elizabeth Cadbury School,Academy,10061415,134115,31,0,"136,303","19,385",1,0,0,"2,395","2,395",0,0,"4,800",0,"143,499"
SW,Devon,878,Dame Hannah Rogers School,Non-Maintained Special School,10008053,114829,4,4,0,0,0,0,"40,000",500,500,0,0,0,0,"40,500"
SE,Kent,886,Dane Court Grammar School,Academy,10033426,119663,369,0,"1,685,681","82,167",2,0,0,"39,894","39,894",0,0,0,0,"1,725,575"
NE,Darlington,841,Darlington Borough Council,Local Authority,10001848,107066,39,3,"163,467","36,934",4,"-3,615","18,000","6,049","5,627",422,0,0,0,"183,901"
NE,Darlington,841,Darlington College,General FE and Tertiary,10001850,105941,"1,384",86,"6,196,073","970,199",72,"-3,793","516,000","149,007","103,318","45,689","206,500",0,0,"7,063,787"
GL,Bromley,305,Darrick Wood School,Academy,10032231,119382,397,4,"1,781,612","26,949",4,0,"24,000","21,331","21,331",0,0,0,0,"1,826,943"
EM,Derby,831,Dart Limited,Independent Learning Provider,10001828,105372,56,0,"226,163","45,688",6,"-5,623",0,"20,415","10,515","9,900",0,0,0,"240,956"
SE,Kent,886,Dartford Grammar School,Academy,10032228,119383,589,0,"2,953,803","53,475",0,0,0,"28,224","28,224",0,0,0,0,"2,982,027"
SE,Kent,886,Dartford Grammar School for Girls,Academy,10063935,134607,307,0,"1,353,171","23,114",0,0,0,"19,047","19,047",0,0,"5,400",0,"1,377,618"
SE,Kent,886,Dartford Technology College,School Sixth Form,10001855,114456,56,0,"255,013","9,387",0,0,0,"6,418","6,418",0,0,0,0,"261,431"
NW,Blackburn with Darwen,889,Darwen Aldridge Community Academy,Academy,10024130,118611,225,0,"1,017,890","105,842",11,0,0,"25,734","25,734",0,0,"5,400",0,"1,049,023"
NW,Blackburn with Darwen,889,Darwen Aldridge Enterprise Studio,Studio School,10042599,123382,55,0,"270,719","54,845",1,0,0,"5,900","5,900",0,0,600,0,"277,220"
EE,Essex,881,Davenant Foundation School,Academy,10033339,119539,336,0,"1,436,786","19,549",1,0,0,"12,666","12,666",0,0,0,0,"1,449,452"
EM,Northamptonshire,928,Daventry Hill School,Free School Special,10056997,132788,5,5,0,0,0,0,"50,000",536,536,0,0,0,0,"50,536"
NW,Cheshire East,895,David Lewis School,Non-Maintained Special School,10039933,123921,5,5,0,0,0,0,"50,000",536,536,0,0,0,0,"50,536"
EM,Derbyshire,830,David Nieper Academy,Academy,10054162,133081,45,0,"198,228","31,086",2,"-3,300",0,"4,828","4,828",0,0,0,0,"199,756"
EM,Nottinghamshire,891,Dawn House School,Non-Maintained Special School,10015047,119819,19,19,0,0,0,0,"190,000","2,038","2,038",0,0,0,0,"192,038"
EM,Lincolnshire,925,De Aston School,Academy,10033037,119491,133,0,"556,134","23,223",0,0,0,"10,503","10,503",0,0,0,0,"566,637"
EM,Leicestershire,855,De Lisle College Loughborough Leicestershire,Academy,10037567,122501,204,0,"812,505","8,964",0,0,0,"10,426","10,426",0,0,0,0,"822,930"
EM,Leicester,856,De Montfort University,Higher Education Provider,10001883,108264,106,0,"444,495","8,545",0,0,0,"9,917","9,495",422,0,0,0,"454,412"
GL,Hillingdon,312,De Salis Studio College,Studio School,10046856,130570,15,0,"72,223","6,000",0,0,0,"1,609","1,609",0,0,0,0,"73,833"
YH,Doncaster,371,De Warenne Academy,Academy,10027716,119133,29,0,"135,878","19,185",1,0,0,"4,321","4,321",0,0,0,0,"140,199"
EE,Essex,881,Debden Park High School,Academy,10033412,119681,144,0,"614,876","6,000",0,0,0,"15,448","15,448",0,0,"36,000",0,"666,324"
SE,Milton Keynes,826,Denbigh School,Academy,10032986,119468,476,0,"2,038,494","47,698",0,0,0,"36,029","36,029",0,0,"18,000",0,"2,092,523"
SW,Gloucestershire,916,DENE MAGNA SCHOOL,Academy,10035081,120422,83,0,"341,134","10,568",0,0,0,"8,904","8,904",0,0,0,0,"350,038"
SE,West Berkshire,869,Denefield School,Academy,10035962,120913,192,0,"862,250","19,330",0,0,0,"9,950","9,950",0,0,0,0,"872,199"
EM,Derby,831,Derby City Council,Local Authority,10001918,112617,17,12,"70,000","6,000",0,0,"72,000","1,520","1,520",0,0,0,0,"143,520"
EM,Derby,831,Derby College,General FE and Tertiary,10001919,112173,"4,868",169,"22,997,840","3,123,548",197,0,"1,014,000","830,117","606,384","180,935","500,000","6,000",0,"25,347,957"
EM,Derby,831,Derby Manufacturing UTC,University Technical College,10053994,132683,39,0,"198,320","15,280",10,"-13,890",0,"4,184","4,184",0,0,"14,400",0,"203,014"
EM,Derby,831,Derby Moor Academy,Academy,10066363,139278,206,0,"900,820","87,880",10,0,0,"53,408","53,408",0,0,"7,200",0,"961,428"
EM,Derby,831,Derby Skillbuild,Independent Learning Provider,10007922,117534,92,0,"332,962","84,576",13,"-11,452",0,"27,104","13,720","13,384",0,0,0,"348,615"
EM,Derbyshire,830,Derbyshire County Council,Local Authority,10001928,112616,249,0,"578,770","133,454",14,"-5,252",0,"21,025","15,204","5,821",0,0,0,"594,543"
WM,Shropshire,893,Derwen College,Special Post-16 Institution,10001929,114847,113,113,"594,585","126,276",0,0,"678,000","15,367","10,635","4,732",0,0,0,"1,287,951"
NE,Durham,840,Derwentside College,General FE and Tertiary,10001934,108464,640,0,"2,228,927","285,968",10,0,0,"79,833","79,833",0,"65,000",0,0,"2,373,760"
SE,Windsor and Maidenhead,868,Desborough College,Academy,10039314,123430,92,0,"416,187","6,842",5,-753,0,"6,659","6,659",0,0,0,0,"422,093"
NE,Durham,840,Developing Initiatives for Support in the Community Limited,Independent Learning Provider,10001944,108657,21,8,"87,975","22,077",0,0,"48,000","6,333","2,895","3,438",0,0,0,"142,308"
SW,Wiltshire,865,Devizes School,Academy,10038652,111451,166,0,"686,964","10,402",1,0,0,"8,444","8,444",0,0,"15,600",0,"711,009"
SW,Devon,878,Devon County Council,Local Authority,10001951,110160,25,7,"90,420","14,227",2,"-2,332","42,000","1,851","1,851",0,0,0,0,"131,939"
SW,Plymouth,879,Devonport High School for Boys,Academy,10033019,119496,337,2,"1,378,017","27,115",0,0,"12,000","22,706","22,706",0,0,"7,800",0,"1,420,524"
SW,Plymouth,879,Devonport High School for Girls,Academy,10033252,119615,225,0,"915,766","19,974",0,0,0,"16,293","16,293",0,0,"1,200",0,"933,259"
NW,Sefton,343,Deyes High School,Academy,10035012,120485,247,0,"1,012,726","39,642",0,0,0,"19,918","19,918",0,0,"9,000",0,"1,041,644"
SW,Bristol City of,801,Didac Limited,Independent Learning Provider,10001967,107825,30,0,"107,929","6,000",1,0,0,"3,252","3,252",0,0,0,0,"111,181"
SE,Oxfordshire,931,Didcot Girls' School,Academy,10038098,122589,160,0,"671,076","6,000",2,0,0,"9,445","9,445",0,0,0,0,"680,521"
SW,South Gloucestershire,803,Digitech Studio School,Studio School,10053999,132677,315,0,"1,375,471","108,714",19,"-25,975",0,"33,793","33,793",0,0,0,0,"1,383,289"
NE,Northumberland,929,Dilston College of Further Education,Special Post-16 Institution,10012822,114848,25,25,"132,505","28,897",0,0,"150,000","3,233","2,011","1,222",0,0,0,"285,738"
YH,Rotherham,372,Dimensions Training Solutions Limited,Independent Learning Provider,10001971,106039,0,0,0,0,0,0,0,"60,739","29,264","31,475",0,0,0,"60,739"
YH,Rotherham,372,Dinnington High School,Academy,10048671,131242,124,0,"522,421","26,492",0,0,0,"12,486","12,486",0,0,0,0,"534,907"
WM,Warwickshire,937,Discovery Academy,Academy Special,10053379,130947,10,10,0,0,0,0,"100,000","1,073","1,073",0,0,0,0,"101,073"
EE,Norfolk,926,Diss High School,Academy,10034614,120092,183,0,"724,703","6,000",0,0,0,"14,501","14,501",0,0,"6,600",0,"745,804"
SE,Slough,871,Ditton Park Academy,Free School,10046729,130552,100,0,"464,340","16,317",0,0,0,"10,728","10,728",0,0,0,0,"475,068"
YH,Bradford,380,Dixons Allerton Academy,Academy,10027543,118885,240,2,"1,144,398","150,354",0,0,"12,000","55,728","55,728",0,0,"7,800",0,"1,219,927"
YH,Bradford,380,Dixons City Academy,Academy,10001992,118388,135,2,"606,271","64,369",0,0,"12,000","15,517","15,517",0,0,0,0,"633,788"
YH,Bradford,380,Dixons Free Sixth Form,Free School,10083743,152005,359,0,"1,598,470","168,674",0,0,0,"63,069","38,514","24,555",0,0,0,"1,661,539"
YH,Bradford,380,Dixons McMillan Academy,Free School,10046598,130495,78,3,"319,255","35,293",0,0,"18,000","8,368","8,368",0,0,0,0,"345,623"
EM,Nottingham,892,Djanogly City Academy,Academy,10015340,118389,4,0,"19,234","6,000",5,"-8,138",0,552,552,0,0,0,0,"11,649"
YH,Doncaster,371,DN Colleges Group,General FE and Tertiary,10004695,106706,"3,981",130,"18,818,168","3,280,893",223,"-30,510","780,000","781,251","614,590","166,661","510,750",0,0,"20,859,659"
YH,Doncaster,371,Don Valley Academy,Academy,10035013,120472,112,1,"474,129","43,052",7,"-1,288","6,000","18,143","18,143",0,0,"2,400",0,"499,384"
YH,Doncaster,371,Doncaster College For the Deaf,Special Post-16 Institution,10002006,114849,84,83,"441,992","93,869",2,0,"498,000","9,546","8,490","1,056",0,0,0,"949,538"
YH,Doncaster,371,Doncaster School for the Deaf,Non-Maintained Special School,10015363,123726,1,1,0,0,0,0,"10,000",500,500,0,0,0,0,"10,500"
