Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
SE,Buckinghamshire,825,The Highcrest Academy,Academy,10033698,119858,163,7,"704,379","33,417",1,0,"42,000","29,630","29,630",0,0,"3,000",0,"779,009"
EE,Hertfordshire,919,The Highfield School,School Sixth Form,10006693,113201,135,0,"561,893","11,094",0,0,0,"10,226","10,226",0,0,0,0,"572,119"
GL,Kingston upon Thames,314,The Hollyfield School and Sixth Form Centre,Academy,10035697,120544,199,3,"903,240","19,879",11,"-2,758","18,000","17,215","17,215",0,0,"2,400",0,"938,098"
SE,Wokingham,872,The Holt School,Academy,10034138,119880,195,1,"865,925","6,000",0,0,"6,000","9,147","9,147",0,0,0,0,"881,071"
GL,Kingston upon Thames,314,The Holy Cross School,Academy,10038104,122725,201,0,"904,201","10,728",0,0,0,"16,388","16,388",0,0,0,0,"920,589"
YH,Bradford,380,The Holy Family Catholic School,School Sixth Form,10006698,113685,126,0,"555,054","54,528",1,0,0,"13,517","13,517",0,0,0,0,"568,571"
GL,Waltham Forest,320,The Holy Family Technology College,School Sixth Form,10006697,113024,254,0,"1,217,500","129,591",1,0,0,"25,228","25,228",0,0,0,0,"1,242,728"
SE,Medway,887,The Howard School,Academy,10047641,130857,215,0,"873,678","31,775",1,0,0,"19,682","19,682",0,0,"7,200",0,"900,560"
SE,Medway,887,The Hundred of Hoo Academy,Academy,10034985,120119,91,10,"357,647","6,000",1,0,"60,000","7,704","7,704",0,0,"1,200",0,"426,551"
SE,Oxfordshire,931,The Iffley Academy,Academy Special,10040298,122868,23,23,0,0,0,0,"230,000","2,467","2,467",0,0,0,0,"232,467"
SW,Devon,878,The Ilfracombe Church of England Academy,Academy,10041371,124360,136,0,"561,405","40,641",4,0,0,"22,874","22,874",0,0,0,0,"584,279"
